et_time,ticker,side,entry_price,contracts,cost,result,won,pnl,cash_after
2026-08-02 01:00:17 PM ET,KXNEAR15M-26AUG021300-00,no,0.9300,3,2.80,no,True,nan,10.64
2026-08-02 01:00:18 PM ET,KXSOL15M-26AUG021300-00,no,0.9760,3,2.93,no,True,nan,10.64
2026-08-02 01:00:18 PM ET,KXETH15M-26AUG021300-00,no,0.9250,3,2.79,no,True,nan,10.64
2026-08-02 01:15:17 PM ET,KXETH15M-26AUG021315-15,yes,0.9740,5,4.88,yes,True,nan,11.05
2026-08-02 01:30:07 PM ET,KXDOGE15M-26AUG021330-30,yes,0.9810,2,1.96,yes,True,nan,7.20
2026-08-02 01:30:17 PM ET,KXBNB15M-26AUG021330-30,no,0.9340,2,1.88,no,True,nan,11.20
2026-08-02 01:45:28 PM ET,KXSOL15M-26AUG021345-45,yes,0.9690,5,4.86,yes,True,nan,11.37
2026-08-02 02:28:15 PM ET,KXNEAR15M-26AUG021430-30,no,0.9730,5,4.87,stopped,False,nan,6.47
2026-08-02 03:30:17 PM ET,KXDOGE15M-26AUG021530-30,no,0.9360,3,2.82,no,True,nan,6.65
2026-08-02 03:45:18 PM ET,KXDOGE15M-26AUG021545-45,yes,0.9110,3,2.75,yes,True,nan,6.88
2026-08-02 04:00:18 PM ET,KXXRP15M-26AUG021600-00,yes,0.9740,2,1.95,yes,True,nan,7.06
2026-08-02 04:00:18 PM ET,KXDOGE15M-26AUG021600-00,yes,0.9500,2,1.91,yes,True,nan,7.06
2026-08-02 04:00:25 PM ET,KXSOL15M-26AUG021600-00,yes,0.9700,2,1.94,yes,True,nan,7.06
2026-08-02 04:15:17 PM ET,KXETH15M-26AUG021615-15,no,0.9630,3,2.90,no,True,nan,7.23
2026-08-02 04:15:18 PM ET,KXBTC15M-26AUG021615-15,no,0.9710,3,2.92,no,True,nan,7.23
2026-08-02 04:30:17 PM ET,KXETH15M-26AUG021630-30,no,0.9850,2,1.97,no,True,nan,7.34
2026-08-02 04:30:17 PM ET,KXBNB15M-26AUG021630-30,no,0.9580,2,1.92,no,True,nan,7.34
2026-08-02 04:30:17 PM ET,KXBTC15M-26AUG021630-30,no,0.9830,2,1.97,no,True,nan,7.34
2026-08-02 04:45:17 PM ET,KXDOGE15M-26AUG021645-45,no,0.9730,3,2.92,no,True,nan,7.40
2026-08-02 05:00:17 PM ET,KXXRP15M-26AUG021700-00,yes,0.9800,3,2.94,yes,True,nan,7.43
2026-08-02 05:15:17 PM ET,KXSOL15M-26AUG021715-15,yes,0.9800,3,2.94,yes,True,nan,7.55
2026-08-02 05:15:18 PM ET,KXETH15M-26AUG021715-15,yes,0.9790,3,2.94,yes,True,nan,7.55
2026-08-02 05:30:15 PM ET,KXXRP15M-26AUG021730-30,yes,0.9700,2,1.94,yes,True,nan,7.67
2026-08-02 05:30:17 PM ET,KXDOGE15M-26AUG021730-30,yes,0.9830,2,1.97,yes,True,nan,7.67
2026-08-02 05:30:18 PM ET,KXBNB15M-26AUG021730-30,no,0.9790,2,1.96,no,True,nan,7.67
2026-08-02 05:45:17 PM ET,KXETH15M-26AUG021745-45,yes,0.9190,4,3.70,yes,True,nan,8.19
2026-08-02 05:45:17 PM ET,KXSOL15M-26AUG021745-45,yes,0.9140,4,3.68,yes,True,nan,8.19
2026-08-02 06:00:17 PM ET,KXETH15M-26AUG021800-00,no,0.9800,2,1.96,no,True,nan,8.36
2026-08-02 06:00:17 PM ET,KXXRP15M-26AUG021800-00,no,0.9680,2,1.94,no,True,nan,8.36
2026-08-02 06:00:17 PM ET,KXDOGE15M-26AUG021800-00,no,0.9840,2,1.97,no,True,nan,8.36
2026-08-02 06:00:17 PM ET,KXBNB15M-26AUG021800-00,no,0.9500,2,1.91,no,True,nan,8.36
2026-08-02 06:35:50 PM ET,KXETH15M-26AUG021830-30,no,0.9840,2,1.97,no,True,nan,8.46
2026-08-02 06:35:57 PM ET,KXDOGE15M-26AUG021830-30,no,0.9790,2,1.96,no,True,nan,8.46
2026-08-02 06:35:57 PM ET,KXXRP15M-26AUG021830-30,no,0.9610,2,1.93,no,True,nan,8.46
2026-08-02 07:06:28 PM ET,KXSOL15M-26AUG021900-00,no,0.9840,2,1.97,no,True,nan,8.74
2026-08-02 07:06:28 PM ET,KXETH15M-26AUG021900-00,no,0.9840,2,1.97,no,True,nan,8.74
2026-08-02 07:06:38 PM ET,KXBNB15M-26AUG021900-00,no,0.9760,2,1.96,no,True,nan,8.74
2026-08-02 07:06:38 PM ET,KXDOGE15M-26AUG021900-00,no,0.9390,2,1.89,no,True,nan,8.74
2026-08-02 07:50:58 PM ET,KXDOGE15M-26AUG021945-45,no,0.9650,2,1.93,no,True,nan,9.12
2026-08-02 07:50:59 PM ET,KXXRP15M-26AUG021945-45,no,0.9550,2,1.92,no,True,nan,9.12
2026-08-02 07:50:59 PM ET,KXBTC15M-26AUG021945-45,no,0.9450,2,1.90,no,True,nan,9.12
2026-08-02 07:50:59 PM ET,KXSOL15M-26AUG021945-45,no,0.9000,2,1.81,no,True,nan,9.12
2026-08-02 08:35:59 PM ET,KXXRP15M-26AUG022030-30,no,0.9600,2,1.93,no,True,nan,9.53
2026-08-02 08:35:59 PM ET,KXETH15M-26AUG022030-30,no,0.9070,2,1.83,no,True,nan,9.53
2026-08-02 08:36:09 PM ET,KXSOL15M-26AUG022030-30,no,0.9710,2,1.95,no,True,nan,9.53
2026-08-02 08:36:09 PM ET,KXBTC15M-26AUG022030-30,no,0.9480,2,1.90,no,True,nan,9.53
2026-08-02 08:42:32 PM ET,KXDOGE15M-26AUG022045-45,yes,0.9100,5,4.58,stopped,False,nan,1.70
2026-08-02 08:44:13 PM ET,KXETH15M-26AUG022045-45,yes,0.9690,4,3.88,stopped,False,nan,1.70
2026-08-02 10:15:28 PM ET,KXXRP15M-26AUG022215-15,no,0.9850,1,0.99,no,True,nan,1.84
2026-08-02 10:27:59 PM ET,KXETH15M-26AUG022230-30,yes,0.9790,1,0.98,stopped,False,nan,0.85
2026-08-02 11:15:16 PM ET,KXXRP15M-26AUG022315-15,no,0.9700,2,1.94,no,True,nan,11.18
2026-08-02 11:15:16 PM ET,KXBNB15M-26AUG022315-15,no,0.9700,2,1.94,no,True,nan,11.18
2026-08-02 11:30:16 PM ET,KXETH15M-26AUG022330-30,no,0.9640,2,1.93,no,True,nan,11.34
2026-08-02 11:30:26 PM ET,KXBNB15M-26AUG022330-30,no,0.9340,2,1.88,no,True,nan,11.34
2026-08-02 11:45:15 PM ET,KXSOL15M-26AUG022345-45,no,0.9790,2,1.96,no,True,nan,11.37
2026-08-03 12:00:15 AM ET,KXETH15M-26AUG030000-00,no,0.9730,2,1.95,no,True,nan,11.42
2026-08-03 12:00:17 AM ET,KXBNB15M-26AUG030000-00,no,0.9800,2,1.96,no,True,nan,11.42
2026-08-03 12:15:27 AM ET,KXXRP15M-26AUG030015-15,no,0.9570,2,1.92,no,True,nan,11.50
2026-08-03 12:30:07 AM ET,KXDOGE15M-26AUG030030-30,yes,0.9670,2,1.94,yes,True,nan,7.59
2026-08-03 12:30:15 AM ET,KXSOL15M-26AUG030030-30,yes,0.9800,2,1.96,yes,True,nan,11.59
2026-08-03 12:45:16 AM ET,KXBNB15M-26AUG030045-45,no,0.9500,3,2.86,no,True,nan,11.72
2026-08-03 01:00:15 AM ET,KXBNB15M-26AUG030100-00,no,0.9850,2,1.97,no,True,nan,11.74
2026-08-03 01:30:15 AM ET,KXSOL15M-26AUG030130-30,no,0.9830,2,1.97,no,True,nan,11.79
2026-08-03 01:30:15 AM ET,KXXRP15M-26AUG030130-30,no,0.9780,2,1.96,no,True,nan,11.79
2026-08-03 02:15:16 AM ET,KXDOGE15M-26AUG030215-15,no,0.9700,3,2.92,no,True,nan,11.88
2026-08-03 02:45:16 AM ET,KXBNB15M-26AUG030245-45,no,0.9850,3,2.96,no,True,nan,11.92
2026-08-03 03:00:27 AM ET,KXSOL15M-26AUG030300-00,yes,0.9770,3,2.94,yes,True,nan,11.96
2026-08-03 03:30:16 AM ET,KXDOGE15M-26AUG030330-30,yes,0.9590,3,2.89,yes,True,nan,12.41
2026-08-03 03:30:17 AM ET,KXETH15M-26AUG030330-30,no,0.9260,3,2.79,no,True,nan,12.41
2026-08-03 03:45:16 AM ET,KXBNB15M-26AUG030345-45,no,0.9830,3,2.95,no,True,nan,12.46
2026-08-03 04:12:32 AM ET,KXETH15M-26AUG030415-15,no,0.9580,2,1.92,stopped,False,nan,6.59
2026-08-03 04:15:17 AM ET,KXDOGE15M-26AUG030415-15,no,0.9800,2,1.96,no,True,nan,11.96
2026-08-03 04:15:27 AM ET,KXXRP15M-26AUG030415-15,no,0.9610,2,1.93,no,True,nan,11.96
2026-08-03 04:45:15 AM ET,KXXRP15M-26AUG030445-45,yes,0.9820,3,2.95,yes,True,nan,12.08
2026-08-03 04:45:27 AM ET,KXETH15M-26AUG030445-45,yes,0.9650,3,2.90,yes,True,nan,12.08
2026-08-03 05:45:16 AM ET,KXBNB15M-26AUG030545-45,no,0.9440,3,2.84,no,True,nan,12.20
2026-08-03 06:57:38 AM ET,KXETH15M-26AUG030700-00,no,0.9620,3,2.89,stopped,False,nan,6.38
2026-08-03 07:00:27 AM ET,KXDOGE15M-26AUG030700-00,no,0.9680,3,2.91,no,True,nan,11.35
2026-08-03 08:15:16 AM ET,KXDOGE15M-26AUG030815-15,yes,0.9670,2,1.94,yes,True,nan,11.61
2026-08-03 09:15:16 AM ET,KXBNB15M-26AUG030915-15,no,0.9400,3,2.83,no,True,nan,11.72
2026-08-03 09:27:54 AM ET,KXBNB15M-26AUG030930-30,yes,0.9780,1,0.98,stopped,False,nan,8.00
2026-08-03 09:28:31 AM ET,KXETH15M-26AUG030930-30,yes,0.9800,1,0.98,stopped,False,nan,8.00
2026-08-03 09:28:31 AM ET,KXBTC15M-26AUG030930-30,yes,0.9730,2,1.95,stopped,False,nan,8.30
2026-08-03 09:45:16 AM ET,KXXRP15M-26AUG030945-45,yes,0.9790,2,1.96,yes,True,nan,9.23
2026-08-03 10:15:15 AM ET,KXBNB15M-26AUG031015-15,no,0.9580,2,1.92,no,True,nan,9.32
2026-08-03 10:30:16 AM ET,KXXRP15M-26AUG031030-30,yes,0.9830,1,0.98,yes,True,nan,9.34
2026-08-03 10:30:16 AM ET,KXSOL15M-26AUG031030-30,yes,0.9790,1,0.98,yes,True,nan,9.34
2026-08-03 11:00:15 AM ET,KXXRP15M-26AUG031100-00,yes,0.9820,2,1.97,yes,True,nan,9.58
2026-08-03 11:00:25 AM ET,KXSOL15M-26AUG031100-00,yes,0.9600,2,1.93,yes,True,nan,9.58
2026-08-03 11:15:17 AM ET,KXDOGE15M-26AUG031115-15,no,0.9580,2,1.92,no,True,nan,9.63
2026-08-03 11:30:15 AM ET,KXBTC15M-26AUG031130-30,no,0.9640,1,0.97,no,True,nan,9.75
2026-08-03 11:30:15 AM ET,KXDOGE15M-26AUG031130-30,yes,0.9280,1,0.93,yes,True,nan,9.75
2026-08-03 11:30:16 AM ET,KXBNB15M-26AUG031130-30,yes,0.9410,1,0.94,yes,True,nan,9.75
2026-08-03 12:15:16 PM ET,KXBTC15M-26AUG031215-15,yes,0.9600,2,1.93,yes,True,nan,9.81
2026-08-03 12:30:15 PM ET,KXETH15M-26AUG031230-30,yes,0.9800,2,1.96,yes,True,nan,9.89
2026-08-03 12:30:15 PM ET,KXBTC15M-26AUG031230-30,yes,0.9530,2,1.91,yes,True,nan,9.89
2026-08-03 01:00:25 PM ET,KXBNB15M-26AUG031300-00,no,0.9220,2,1.85,no,True,nan,10.11
2026-08-03 01:00:27 PM ET,KXXRP15M-26AUG031300-00,yes,0.9490,2,1.90,yes,True,nan,10.11
2026-08-03 01:15:16 PM ET,KXXRP15M-26AUG031315-15,yes,0.9400,1,0.94,yes,True,nan,10.18
2026-08-03 01:15:26 PM ET,KXETH15M-26AUG031315-15,yes,0.9820,2,1.97,yes,True,nan,10.18
2026-08-03 01:30:15 PM ET,KXBNB15M-26AUG031330-30,no,0.9800,2,1.96,no,True,nan,8.21
2026-08-03 01:45:17 PM ET,KXSOL15M-26AUG031345-45,yes,0.9700,2,1.94,yes,True,nan,10.22
2026-08-03 02:30:15 PM ET,KXBNB15M-26AUG031430-30,no,0.9780,2,1.96,no,True,nan,10.26
2026-08-03 03:00:15 PM ET,KXXRP15M-26AUG031500-00,yes,0.9800,1,0.98,yes,True,nan,10.33
2026-08-03 03:00:15 PM ET,KXETH15M-26AUG031500-00,yes,0.9790,1,0.98,yes,True,nan,10.33
2026-08-03 03:00:16 PM ET,KXSOL15M-26AUG031500-00,yes,0.9790,1,0.98,yes,True,nan,10.33
2026-08-03 03:15:15 PM ET,KXETH15M-26AUG031515-15,yes,0.9830,2,1.97,yes,True,nan,10.35
2026-08-03 03:45:15 PM ET,KXETH15M-26AUG031545-45,no,0.9480,1,0.95,no,True,nan,10.46
2026-08-03 03:45:25 PM ET,KXXRP15M-26AUG031545-45,no,0.9760,1,0.98,no,True,nan,10.46
2026-08-03 03:45:26 PM ET,KXBTC15M-26AUG031545-45,no,0.9540,1,0.96,no,True,nan,10.46
2026-08-03 04:00:15 PM ET,KXBNB15M-26AUG031600-00,no,0.9310,2,1.87,no,True,nan,10.55
2026-08-03 04:15:15 PM ET,KXXRP15M-26AUG031615-15,yes,0.9680,2,1.94,yes,True,nan,10.68
2026-08-03 04:15:17 PM ET,KXDOGE15M-26AUG031615-15,yes,0.9460,2,1.90,yes,True,nan,10.68
2026-08-03 06:00:17 PM ET,KXBNB15M-26AUG031800-00,no,0.9800,2,1.96,no,True,nan,10.70
2026-08-03 06:15:17 PM ET,KXBTC15M-26AUG031815-15,no,0.9770,2,1.96,no,True,nan,10.73
2026-08-03 06:45:15 PM ET,KXBNB15M-26AUG031845-45,no,0.9770,2,1.96,no,True,nan,10.76
2026-08-03 08:15:16 PM ET,KXXRP15M-26AUG032015-15,no,0.9680,2,1.94,no,True,nan,10.27
2026-08-03 08:30:15 PM ET,KXETH15M-26AUG032030-30,no,0.9550,2,1.92,no,True,nan,10.34
2026-08-03 09:00:15 PM ET,KXBNB15M-26AUG032100-00,no,0.9720,2,1.95,no,True,nan,10.47
2026-08-03 09:00:15 PM ET,KXXRP15M-26AUG032100-00,no,0.9530,2,1.91,no,True,nan,10.47
2026-08-03 09:15:16 PM ET,KXETH15M-26AUG032115-15,yes,0.9770,2,1.96,yes,True,nan,10.50
2026-08-03 10:15:15 PM ET,KXXRP15M-26AUG032215-15,no,0.9380,2,1.88,no,True,nan,10.64
2026-08-03 10:15:16 PM ET,KXETH15M-26AUG032215-15,no,0.9640,2,1.93,no,True,nan,10.64
2026-08-03 10:30:16 PM ET,KXBNB15M-26AUG032230-30,no,0.9490,2,1.90,no,True,nan,10.73
2026-08-03 10:45:25 PM ET,KXDOGE15M-26AUG032245-45,yes,0.9530,2,1.91,yes,True,nan,10.81
