datetime,symbol,open,high,low,close,volume
2026-04-27 09:30:00,NASDAQ:AAPL,266.09,267.87,265.06,266.13,211068.0
2026-04-27 09:35:00,NASDAQ:AAPL,266.12,267.25,266.11,267.13,154324.0
2026-04-27 09:40:00,NASDAQ:AAPL,267.17,267.74,267.03,267.485,88722.0
2026-04-27 09:45:00,NASDAQ:AAPL,267.5,268.11,267.32,267.97,103168.0
2026-04-27 09:50:00,NASDAQ:AAPL,267.98,268.23,267.42,267.94,71767.0
2026-04-27 09:55:00,NASDAQ:AAPL,267.88,268.36,267.64,268.13,58050.0
2026-04-27 10:00:00,NASDAQ:AAPL,268.16,268.21,267.25,267.26,54242.0
2026-04-27 10:05:00,NASDAQ:AAPL,267.26,267.53,267.11,267.49,52536.0
2026-04-27 10:10:00,NASDAQ:AAPL,267.48,267.99,267.14,267.37,50779.0
2026-04-27 10:15:00,NASDAQ:AAPL,267.4,267.73,267.32,267.66,38565.0
2026-04-27 10:20:00,NASDAQ:AAPL,267.65,267.65,267.29,267.44,45877.0
2026-04-27 10:25:00,NASDAQ:AAPL,267.44,267.47,267.19,267.36,27285.0
2026-04-27 10:30:00,NASDAQ:AAPL,267.39,267.8,267.37,267.54,37785.0
2026-04-27 10:35:00,NASDAQ:AAPL,267.51,267.7,267.15,267.37,52645.0
2026-04-27 10:40:00,NASDAQ:AAPL,267.39,267.44,267.05,267.19,34698.0
2026-04-27 10:45:00,NASDAQ:AAPL,267.2,267.31,267.0,267.09,32493.0
2026-04-27 10:50:00,NASDAQ:AAPL,267.08,267.15,266.68,266.79,48839.0
2026-04-27 10:55:00,NASDAQ:AAPL,266.82,267.19,266.78,267.15,29534.0
2026-04-27 11:00:00,NASDAQ:AAPL,267.19,267.34,267.0,267.21,31520.0
2026-04-27 11:05:00,NASDAQ:AAPL,267.22,267.55,267.02,267.08,39643.0
2026-04-27 11:10:00,NASDAQ:AAPL,267.08,267.08,266.75,266.89,34580.0
2026-04-27 11:15:00,NASDAQ:AAPL,266.9,267.08,266.63,266.77,33484.0
2026-04-27 11:20:00,NASDAQ:AAPL,266.785,267.01,266.76,267.0,22959.0
2026-04-27 11:25:00,NASDAQ:AAPL,267.01,267.21,266.92,267.12,18630.0
2026-04-27 11:30:00,NASDAQ:AAPL,267.14,267.23,266.85,267.02,24314.0
2026-04-27 11:35:00,NASDAQ:AAPL,267.0,267.33,267.0,267.27,19150.0
2026-04-27 11:40:00,NASDAQ:AAPL,267.25,267.64,267.22,267.64,34001.0
2026-04-27 11:45:00,NASDAQ:AAPL,267.64,267.64,267.01,267.04,27320.0
2026-04-27 11:50:00,NASDAQ:AAPL,267.04,267.06,266.89,267.03,19251.0
2026-04-27 11:55:00,NASDAQ:AAPL,267.05,267.05,266.67,266.8,26984.0
2026-04-27 12:00:00,NASDAQ:AAPL,266.81,267.02,266.64,266.88,54347.0
2026-04-27 12:05:00,NASDAQ:AAPL,266.885,266.885,266.67,266.82,21182.0
2026-04-27 12:10:00,NASDAQ:AAPL,266.83,267.04,266.82,266.84,20222.0
2026-04-27 12:15:00,NASDAQ:AAPL,266.85,266.86,266.63,266.68,17773.0
2026-04-27 12:20:00,NASDAQ:AAPL,266.71,266.71,266.38,266.4,42244.0
2026-04-27 12:25:00,NASDAQ:AAPL,266.39,266.48,266.26,266.3,21039.0
2026-04-27 12:30:00,NASDAQ:AAPL,266.3,266.51,266.3,266.44,20573.0
2026-04-27 12:35:00,NASDAQ:AAPL,266.45,266.49,266.32,266.41,15736.0
2026-04-27 12:40:00,NASDAQ:AAPL,266.41,266.64,266.37,266.59,13190.0
