datetime,symbol,open,high,low,close,volume
2026-04-27 09:30:00,NASDAQ:NVDA,209.645,210.93,209.0,210.83,674407.0
2026-04-27 09:35:00,NASDAQ:NVDA,210.84,211.95,210.5,210.61,538121.0
2026-04-27 09:40:00,NASDAQ:NVDA,210.6,211.09,209.45,209.76,408570.0
2026-04-27 09:45:00,NASDAQ:NVDA,209.77,210.57,209.07,210.02,430952.0
2026-04-27 09:50:00,NASDAQ:NVDA,210.01,210.02,208.4,209.93,563545.0
2026-04-27 09:55:00,NASDAQ:NVDA,209.91,210.43,209.17,210.35,222391.0
2026-04-27 10:00:00,NASDAQ:NVDA,210.35,210.66,210.02,210.23,249583.0
2026-04-27 10:05:00,NASDAQ:NVDA,210.27,210.73,209.98,210.175,200352.0
2026-04-27 10:10:00,NASDAQ:NVDA,210.16,210.51,209.605,210.39,149798.0
2026-04-27 10:15:00,NASDAQ:NVDA,210.37,210.4,208.92,209.24,204876.0
2026-04-27 10:20:00,NASDAQ:NVDA,209.22,209.4,208.89,209.12,212300.0
2026-04-27 10:25:00,NASDAQ:NVDA,209.11,209.2,208.51,208.71,183290.0
2026-04-27 10:30:00,NASDAQ:NVDA,208.695,208.79,207.39,208.36,379696.0
2026-04-27 10:35:00,NASDAQ:NVDA,208.37,209.21,208.34,209.1,211754.0
2026-04-27 10:40:00,NASDAQ:NVDA,209.09,209.43,208.9,209.23,112325.0
2026-04-27 10:45:00,NASDAQ:NVDA,209.28,209.4,208.81,209.34,84321.0
2026-04-27 10:50:00,NASDAQ:NVDA,209.34,209.87,209.205,209.375,151938.0
2026-04-27 10:55:00,NASDAQ:NVDA,209.39,209.65,209.17,209.37,131320.0
2026-04-27 11:00:00,NASDAQ:NVDA,209.4,209.7,209.17,209.27,85670.0
2026-04-27 11:05:00,NASDAQ:NVDA,209.25,209.72,209.03,209.575,117975.0
2026-04-27 11:10:00,NASDAQ:NVDA,209.6,209.93,209.46,209.48,93045.0
2026-04-27 11:15:00,NASDAQ:NVDA,209.47,209.84,209.32,209.71,82305.0
2026-04-27 11:20:00,NASDAQ:NVDA,209.72,209.86,209.38,209.48,76366.0
2026-04-27 11:25:00,NASDAQ:NVDA,209.48,209.91,209.25,209.89,124975.0
2026-04-27 11:30:00,NASDAQ:NVDA,209.89,210.29,209.76,210.19,261811.0
2026-04-27 11:35:00,NASDAQ:NVDA,210.2,210.55,210.14,210.53,129255.0
2026-04-27 11:40:00,NASDAQ:NVDA,210.54,210.63,210.31,210.37,146940.0
2026-04-27 11:45:00,NASDAQ:NVDA,210.37,210.82,210.1,210.61,126633.0
2026-04-27 11:50:00,NASDAQ:NVDA,210.62,210.85,210.38,210.59,120156.0
2026-04-27 11:55:00,NASDAQ:NVDA,210.57,210.69,210.39,210.67,81916.0
