datetime,symbol,open,high,low,close,volume
2026-04-27 09:30:00,NASDAQ:SMCI,28.83,29.3,28.68,29.3,237952.0
2026-04-27 09:35:00,NASDAQ:SMCI,29.3,29.49,29.09,29.315,88125.0
2026-04-27 09:40:00,NASDAQ:SMCI,29.305,29.34,29.15,29.23,46794.0
2026-04-27 09:45:00,NASDAQ:SMCI,29.21,29.23,28.895,28.92,73531.0
2026-04-27 09:50:00,NASDAQ:SMCI,28.92,29.21,28.815,29.16,51104.0
2026-04-27 09:55:00,NASDAQ:SMCI,29.15,29.16,28.83,28.83,34442.0
2026-04-27 10:00:00,NASDAQ:SMCI,28.835,28.85,28.66,28.66,98157.0
2026-04-27 10:05:00,NASDAQ:SMCI,28.66,28.87,28.575,28.58,49277.0
2026-04-27 10:10:00,NASDAQ:SMCI,28.59,28.71,28.46,28.49,65394.0
2026-04-27 10:15:00,NASDAQ:SMCI,28.49,28.49,28.31,28.42,69990.0
2026-04-27 10:20:00,NASDAQ:SMCI,28.4,28.41,28.265,28.31,64301.0
2026-04-27 10:25:00,NASDAQ:SMCI,28.3,28.3,28.14,28.14,51286.0
2026-04-27 10:30:00,NASDAQ:SMCI,28.11,28.155,27.96,28.15,85502.0
2026-04-27 10:35:00,NASDAQ:SMCI,28.16,28.28,28.11,28.14,59616.0
2026-04-27 10:40:00,NASDAQ:SMCI,28.15,28.2,28.065,28.16,26690.0
2026-04-27 10:45:00,NASDAQ:SMCI,28.16,28.315,28.09,28.25,47423.0
2026-04-27 10:50:00,NASDAQ:SMCI,28.24,28.29,28.05,28.08,26290.0
2026-04-27 10:55:00,NASDAQ:SMCI,28.09,28.12,27.91,27.91,53138.0
2026-04-27 11:00:00,NASDAQ:SMCI,27.91,27.945,27.83,27.88,31925.0
2026-04-27 11:05:00,NASDAQ:SMCI,27.87,28.01,27.805,27.945,22710.0
2026-04-27 11:10:00,NASDAQ:SMCI,27.955,27.985,27.775,27.78,38780.0
2026-04-27 11:15:00,NASDAQ:SMCI,27.77,27.78,27.64,27.64,38648.0
2026-04-27 11:20:00,NASDAQ:SMCI,27.63,27.665,27.5,27.55,55472.0
2026-04-27 11:25:00,NASDAQ:SMCI,27.545,27.68,27.52,27.67,27970.0
2026-04-27 11:30:00,NASDAQ:SMCI,27.67,27.71,27.57,27.69,28314.0
2026-04-27 11:35:00,NASDAQ:SMCI,27.69,27.715,27.645,27.695,15517.0
2026-04-27 11:40:00,NASDAQ:SMCI,27.69,27.75,27.64,27.65,17520.0
2026-04-27 11:45:00,NASDAQ:SMCI,27.64,27.66,27.59,27.59,35409.0
2026-04-27 11:50:00,NASDAQ:SMCI,27.58,27.65,27.47,27.49,70777.0
2026-04-27 11:55:00,NASDAQ:SMCI,27.49,27.6,27.47,27.58,12604.0
2026-04-27 12:00:00,NASDAQ:SMCI,27.59,27.69,27.59,27.69,10699.0
2026-04-27 12:05:00,NASDAQ:SMCI,27.68,27.89,27.68,27.88,15978.0
2026-04-27 12:10:00,NASDAQ:SMCI,27.88,27.93,27.86,27.9,18780.0
2026-04-27 12:15:00,NASDAQ:SMCI,27.9,27.94,27.89,27.92,15582.0
2026-04-27 12:20:00,NASDAQ:SMCI,27.92,27.92,27.855,27.87,5307.0
2026-04-27 12:25:00,NASDAQ:SMCI,27.86,27.905,27.86,27.9,8058.0
2026-04-27 12:30:00,NASDAQ:SMCI,27.905,28.01,27.905,27.97,13008.0
2026-04-27 12:35:00,NASDAQ:SMCI,27.97,28.025,27.965,28.025,9624.0
2026-04-27 12:40:00,NASDAQ:SMCI,28.01,28.085,28.005,28.07,11648.0
2026-04-27 12:45:00,NASDAQ:SMCI,28.07,28.16,28.07,28.155,17299.0
2026-04-27 12:50:00,NASDAQ:SMCI,28.15,28.18,28.07,28.08,14318.0
2026-04-27 12:55:00,NASDAQ:SMCI,28.07,28.08,28.01,28.02,7129.0
2026-04-27 13:00:00,NASDAQ:SMCI,28.03,28.11,28.02,28.11,20116.0
2026-04-27 13:05:00,NASDAQ:SMCI,28.1,28.145,28.085,28.12,8620.0
2026-04-27 13:10:00,NASDAQ:SMCI,28.14,28.14,28.085,28.1,10846.0
2026-04-27 13:15:00,NASDAQ:SMCI,28.11,28.11,28.0,28.0,14975.0
2026-04-27 13:20:00,NASDAQ:SMCI,28.0,28.06,27.95,28.04,11510.0
2026-04-27 13:25:00,NASDAQ:SMCI,28.04,28.12,28.04,28.11,15588.0
2026-04-27 13:30:00,NASDAQ:SMCI,28.12,28.19,28.11,28.17,20548.0
2026-04-27 13:35:00,NASDAQ:SMCI,28.18,28.21,28.15,28.16,12748.0
2026-04-27 13:40:00,NASDAQ:SMCI,28.15,28.155,28.105,28.14,9601.0
2026-04-27 13:45:00,NASDAQ:SMCI,28.12,28.12,28.07,28.08,6482.0
2026-04-27 13:50:00,NASDAQ:SMCI,28.08,28.08,27.98,28.01,18328.0
2026-04-27 13:55:00,NASDAQ:SMCI,28.01,28.06,28.005,28.06,7741.0
2026-04-27 14:00:00,NASDAQ:SMCI,28.065,28.08,28.025,28.035,11812.0
2026-04-27 14:05:00,NASDAQ:SMCI,28.035,28.095,28.02,28.095,9513.0
2026-04-27 14:10:00,NASDAQ:SMCI,28.1,28.16,28.1,28.11,10611.0
2026-04-27 14:15:00,NASDAQ:SMCI,28.1,28.15,28.085,28.095,9043.0
2026-04-27 14:20:00,NASDAQ:SMCI,28.09,28.145,28.09,28.12,4183.0
2026-04-27 14:25:00,NASDAQ:SMCI,28.12,28.12,28.08,28.08,12304.0
2026-04-27 14:30:00,NASDAQ:SMCI,28.075,28.09,28.05,28.055,8431.0
2026-04-27 14:35:00,NASDAQ:SMCI,28.06,28.095,28.055,28.085,7530.0
2026-04-27 14:40:00,NASDAQ:SMCI,28.085,28.09,27.98,28.0,31064.0
2026-04-27 14:45:00,NASDAQ:SMCI,27.99,28.01,27.96,27.995,19297.0
2026-04-27 14:50:00,NASDAQ:SMCI,28.0,28.04,27.935,27.935,10819.0
2026-04-27 14:55:00,NASDAQ:SMCI,27.94,27.97,27.925,27.95,15329.0
2026-04-27 15:00:00,NASDAQ:SMCI,27.945,27.97,27.93,27.97,11439.0
2026-04-27 15:05:00,NASDAQ:SMCI,27.975,28.045,27.975,28.04,14994.0
2026-04-27 15:10:00,NASDAQ:SMCI,28.03,28.06,27.99,28.035,15650.0
2026-04-27 15:15:00,NASDAQ:SMCI,28.05,28.1,28.02,28.07,11986.0
2026-04-27 15:20:00,NASDAQ:SMCI,28.06,28.08,27.95,27.97,25602.0
2026-04-27 15:25:00,NASDAQ:SMCI,27.965,27.985,27.94,27.96,12396.0
2026-04-27 15:30:00,NASDAQ:SMCI,27.955,27.97,27.84,27.84,36577.0
2026-04-27 15:35:00,NASDAQ:SMCI,27.83,27.855,27.805,27.845,16103.0
2026-04-27 15:40:00,NASDAQ:SMCI,27.86,27.865,27.795,27.84,30077.0
2026-04-27 15:45:00,NASDAQ:SMCI,27.84,27.95,27.84,27.91,20729.0
2026-04-27 15:50:00,NASDAQ:SMCI,27.905,27.91,27.72,27.74,58326.0
2026-04-27 15:55:00,NASDAQ:SMCI,27.74,27.89,27.74,27.85,141409.0
2026-04-28 09:30:00,NASDAQ:SMCI,26.97,27.3,26.73,27.0,178748.0
2026-04-28 09:35:00,NASDAQ:SMCI,27.0,27.17,26.955,27.065,68019.0
2026-04-28 09:40:00,NASDAQ:SMCI,27.07,27.28,26.979,27.22,51145.0
2026-04-28 09:45:00,NASDAQ:SMCI,27.21,27.21,26.97,27.01,35601.0
2026-04-28 09:50:00,NASDAQ:SMCI,27.01,27.08,26.925,27.01,36017.0
