datetime,symbol,open,high,low,close,volume
2026-04-27 09:30:00,NYSE:SMR,11.76,12.45,11.7,12.43,228206.0
2026-04-27 09:35:00,NYSE:SMR,12.425,12.69,12.39,12.39,197775.0
2026-04-27 09:40:00,NYSE:SMR,12.4,12.605,12.27,12.35,176066.0
2026-04-27 09:45:00,NYSE:SMR,12.345,12.375,12.16,12.16,85795.0
2026-04-27 09:50:00,NYSE:SMR,12.16,12.41,12.08,12.405,118316.0
2026-04-27 09:55:00,NYSE:SMR,12.41,12.445,12.285,12.285,48444.0
2026-04-27 10:00:00,NYSE:SMR,12.28,12.29,12.2,12.25,53166.0
2026-04-27 10:05:00,NYSE:SMR,12.26,12.265,12.155,12.18,55779.0
2026-04-27 10:10:00,NYSE:SMR,12.18,12.295,12.15,12.25,27068.0
2026-04-27 10:15:00,NYSE:SMR,12.245,12.295,12.17,12.28,30634.0
2026-04-27 10:20:00,NYSE:SMR,12.27,12.425,12.245,12.425,37025.0
2026-04-27 10:25:00,NYSE:SMR,12.43,12.47,12.375,12.41,33635.0
2026-04-27 10:30:00,NYSE:SMR,12.4,12.41,12.3,12.405,34603.0
2026-04-27 10:35:00,NYSE:SMR,12.41,12.53,12.4,12.5,91283.0
2026-04-27 10:40:00,NYSE:SMR,12.505,12.52,12.405,12.51,44044.0
2026-04-27 10:45:00,NYSE:SMR,12.51,12.57,12.45,12.465,45513.0
2026-04-27 10:50:00,NYSE:SMR,12.465,12.51,12.35,12.35,34205.0
2026-04-27 10:55:00,NYSE:SMR,12.36,12.36,12.21,12.22,39801.0
2026-04-27 11:00:00,NYSE:SMR,12.22,12.23,12.06,12.08,57186.0
2026-04-27 11:05:00,NYSE:SMR,12.08,12.12,12.02,12.1,31156.0
2026-04-27 11:10:00,NYSE:SMR,12.1,12.155,12.07,12.09,36485.0
2026-04-27 11:15:00,NYSE:SMR,12.08,12.08,12.0,12.01,30591.0
2026-04-27 11:20:00,NYSE:SMR,12.01,12.1,12.0,12.08,33922.0
2026-04-27 11:25:00,NYSE:SMR,12.08,12.165,12.035,12.16,14416.0
2026-04-27 11:30:00,NYSE:SMR,12.17,12.17,12.09,12.1,14963.0
2026-04-27 11:35:00,NYSE:SMR,12.095,12.14,12.08,12.125,15380.0
2026-04-27 11:40:00,NYSE:SMR,12.13,12.15,12.11,12.125,9828.0
2026-04-27 11:45:00,NYSE:SMR,12.12,12.14,12.07,12.08,15900.0
2026-04-27 11:50:00,NYSE:SMR,12.08,12.12,12.07,12.1,11299.0
2026-04-27 11:55:00,NYSE:SMR,12.11,12.19,12.11,12.18,9917.0
2026-04-27 12:00:00,NYSE:SMR,12.18,12.195,12.15,12.17,7034.0
2026-04-27 12:05:00,NYSE:SMR,12.16,12.16,12.12,12.13,11997.0
2026-04-27 12:10:00,NYSE:SMR,12.13,12.26,12.13,12.26,28990.0
2026-04-27 12:15:00,NYSE:SMR,12.265,12.31,12.25,12.27,20988.0
2026-04-27 12:20:00,NYSE:SMR,12.28,12.33,12.26,12.26,23648.0
2026-04-27 12:25:00,NYSE:SMR,12.26,12.27,12.24,12.26,16058.0
2026-04-27 12:30:00,NYSE:SMR,12.26,12.27,12.23,12.23,9751.0
2026-04-27 12:35:00,NYSE:SMR,12.23,12.24,12.19,12.24,11909.0
2026-04-27 12:40:00,NYSE:SMR,12.23,12.3,12.225,12.27,17085.0
2026-04-27 12:45:00,NYSE:SMR,12.27,12.39,12.27,12.38,50276.0
2026-04-27 12:50:00,NYSE:SMR,12.39,12.4,12.36,12.36,11456.0
2026-04-27 12:55:00,NYSE:SMR,12.36,12.43,12.355,12.43,18481.0
2026-04-27 13:00:00,NYSE:SMR,12.43,12.53,12.43,12.48,66502.0
2026-04-27 13:05:00,NYSE:SMR,12.49,12.58,12.49,12.58,23131.0
2026-04-27 13:10:00,NYSE:SMR,12.58,12.655,12.555,12.61,97734.0
2026-04-27 13:15:00,NYSE:SMR,12.62,12.655,12.54,12.55,47437.0
2026-04-27 13:20:00,NYSE:SMR,12.55,12.64,12.53,12.63,34672.0
2026-04-27 13:25:00,NYSE:SMR,12.64,12.665,12.62,12.66,17975.0
