,Open,High,Low,Close,Volume
2026-02-23 09:30:00-05:00,191.45,193.95,191.32,193.07,7486249
2026-02-23 09:35:00-05:00,193.06,193.3993,192.29,193.28,2286910
2026-02-23 09:40:00-05:00,193.27,193.27,192.11,192.34,2033004
2026-02-23 09:45:00-05:00,192.345,192.78,192.03,192.535,1683200
2026-02-23 09:50:00-05:00,192.525,193.397,192.43,192.98,1855963
2026-02-23 09:55:00-05:00,192.97,193.34,192.595,193.1,1671032
2026-02-23 10:00:00-05:00,193.11,193.46,192.3,192.455,1731863
2026-02-23 10:05:00-05:00,192.46,192.535,191.5,191.72,1966527
2026-02-23 10:10:00-05:00,191.715,192.165,191.08,191.495,1887605
2026-02-23 10:15:00-05:00,191.49,191.6,190.92,191.39,1615302
2026-02-23 10:20:00-05:00,191.4,191.85,191.08,191.7499,1454727
2026-02-23 10:25:00-05:00,191.76,191.76,191.24,191.32,923980
2026-02-23 10:30:00-05:00,191.33,191.6696,190.92,190.935,1393909
2026-02-23 10:35:00-05:00,190.925,191.34,190.7804,191.255,1127206
2026-02-23 10:40:00-05:00,191.22,191.37,191.07,191.245,951355
2026-02-23 10:45:00-05:00,191.245,191.47,190.9,191.2999,980879
2026-02-23 10:50:00-05:00,191.29,191.475,190.635,190.6801,1206324
2026-02-23 10:55:00-05:00,190.685,190.715,190.1801,190.22,1380025
2026-02-23 11:00:00-05:00,190.23,190.39,189.6201,189.87,1447625
2026-02-23 11:05:00-05:00,189.8915,190.03,189.65,189.94,593250
2026-02-23 11:10:00-05:00,189.9301,190.24,189.7826,189.975,1173564
2026-02-23 11:15:00-05:00,189.98,190.14,189.6401,190.11,1079003
2026-02-23 11:20:00-05:00,190.11,190.29,189.85,189.96,1144947
2026-02-23 11:25:00-05:00,189.9494,190.56,189.93,190.4966,1118531
2026-02-23 11:30:00-05:00,190.49,190.9398,190.4223,190.937,1280656
2026-02-23 11:35:00-05:00,190.94,191.0,190.67,190.8551,947029
2026-02-23 11:40:00-05:00,190.85,191.215,190.8,191.215,946620
