,Open,High,Low,Close,Volume
2026-02-23 09:30:00-05:00,606.63,608.01,606.34,607.09,1107189
2026-02-23 09:35:00-05:00,607.15,607.72,606.19,606.95,605580
2026-02-23 09:40:00-05:00,606.96,606.96,604.16,604.17,791147
2026-02-23 09:45:00-05:00,604.18,605.19,603.59,604.44,748890
2026-02-23 09:50:00-05:00,604.38,606.1891,604.35,605.22,705696
2026-02-23 09:55:00-05:00,605.18,605.68,604.6588,604.96,419323
2026-02-23 10:00:00-05:00,604.93,605.875,603.77,603.83,673810
2026-02-23 10:05:00-05:00,603.83,604.435,603.225,603.5961,737166
2026-02-23 10:10:00-05:00,603.63,604.67,603.62,604.05,570468
2026-02-23 10:15:00-05:00,604.0301,604.6699,603.64,604.63,395008
2026-02-23 10:20:00-05:00,604.6284,605.36,604.13,604.58,484121
2026-02-23 10:25:00-05:00,604.56,604.73,603.8301,603.98,319800
2026-02-23 10:30:00-05:00,603.97,604.665,603.45,603.47,578871
2026-02-23 10:35:00-05:00,603.48,603.97,602.995,603.3,510044
2026-02-23 10:40:00-05:00,603.31,603.55,602.66,602.94,319248
2026-02-23 10:45:00-05:00,602.93,603.48,602.55,602.8066,325924
2026-02-23 10:50:00-05:00,602.84,603.18,601.58,601.635,540004
2026-02-23 10:55:00-05:00,601.63,601.76,600.75,600.86,637283
2026-02-23 11:00:00-05:00,600.86,601.16,599.53,600.01,702687
2026-02-23 11:05:00-05:00,599.59,599.77,599.59,599.68,39220
2026-02-23 11:10:00-05:00,599.44,599.99,599.05,599.4,676899
2026-02-23 11:15:00-05:00,599.4,600.39,599.05,600.33,587925
2026-02-23 11:20:00-05:00,600.32,600.825,600.0825,600.43,624588
2026-02-23 11:25:00-05:00,600.37,601.73,600.36,601.67,490503
2026-02-23 11:30:00-05:00,601.66,601.95,601.19,601.38,529514
2026-02-23 11:35:00-05:00,601.38,601.77,601.02,601.24,392599
2026-02-23 11:40:00-05:00,601.22,601.79,601.13,601.37,311219
2026-02-23 11:45:00-05:00,601.37,601.5,600.62,601.0,448512
2026-02-23 11:50:00-05:00,601.01,601.48,600.76,600.99,323227
2026-02-23 11:55:00-05:00,601.0,601.15,600.47,600.66,234010
2026-02-23 12:00:00-05:00,600.66,601.2,600.5,600.88,302798
2026-02-23 12:05:00-05:00,600.86,601.33,600.66,600.82,281709
2026-02-23 12:10:00-05:00,600.8,601.06,600.43,600.61,222728
2026-02-23 12:15:00-05:00,600.61,601.21,600.59,600.74,217770
2026-02-23 12:20:00-05:00,600.74,600.97,600.66,600.9479,34140
2026-02-23 12:25:00-05:00,600.85,600.93,600.85,600.9187,8024
2026-02-23 12:30:00-05:00,600.84,600.92,600.2955,600.37,258332
2026-02-23 12:35:00-05:00,600.37,600.38,599.35,599.375,392503
2026-02-23 12:40:00-05:00,599.36,600.47,599.28,599.84,499376
2026-02-23 12:45:00-05:00,599.85,600.27,599.67,599.855,246631
2026-02-23 12:50:00-05:00,599.845,600.985,599.83,600.77,368273
2026-02-23 12:55:00-05:00,600.78,601.15,600.58,600.885,315627
2026-02-23 13:00:00-05:00,600.87,601.33,600.75,601.15,251151
2026-02-23 13:05:00-05:00,601.14,601.69,601.07,601.6,251707
2026-02-23 13:10:00-05:00,601.6,601.96,601.2837,601.84,241264
2026-02-23 13:15:00-05:00,601.85,602.19,601.75,601.88,307897
2026-02-23 13:20:00-05:00,601.8813,602.7001,601.75,602.605,339981
2026-02-23 13:25:00-05:00,602.61,602.67,602.3,602.455,349359
2026-02-23 13:30:00-05:00,602.45,602.47,602.03,602.33,254621
2026-02-23 13:35:00-05:00,602.34,602.68,602.21,602.26,234033
2026-02-23 13:40:00-05:00,602.27,602.4,601.66,601.85,268148
2026-02-23 13:45:00-05:00,601.83,602.24,601.63,602.01,231879
2026-02-23 13:50:00-05:00,602.03,602.09,601.1312,601.16,217153
2026-02-23 13:55:00-05:00,601.14,601.255,600.3,600.47,316476
2026-02-23 14:00:00-05:00,600.47,600.895,600.34,600.55,425365
2026-02-23 14:05:00-05:00,600.55,601.14,600.51,600.84,262288
2026-02-23 14:10:00-05:00,600.85,601.13,600.61,600.8665,193519
2026-02-23 14:15:00-05:00,600.83,601.09,600.47,600.62,275440
2026-02-23 14:20:00-05:00,600.62,600.77,600.48,600.58,154397
2026-02-23 14:25:00-05:00,600.64,600.81,600.04,600.17,174403
2026-02-23 14:30:00-05:00,600.16,600.54,600.1,600.17,224708
2026-02-23 14:35:00-05:00,600.16,600.24,599.9,600.04,311089
2026-02-23 14:40:00-05:00,600.06,600.07,599.42,599.76,354304
2026-02-23 14:45:00-05:00,599.76,600.1099,599.62,600.03,397931
2026-02-23 14:50:00-05:00,600.0201,600.14,599.6401,599.73,243521
2026-02-23 14:55:00-05:00,599.72,600.1995,599.43,599.5935,288653
2026-02-23 15:00:00-05:00,599.6,599.94,599.5,599.8,319858
2026-02-23 15:05:00-05:00,599.81,599.93,599.42,599.585,263046
2026-02-23 15:10:00-05:00,599.57,599.64,599.3099,599.45,332124
2026-02-23 15:15:00-05:00,599.45,599.98,599.435,599.7,268196
2026-02-23 15:20:00-05:00,599.68,599.81,599.44,599.81,180369
2026-02-23 15:25:00-05:00,599.8001,600.16,599.7104,599.97,256816
2026-02-23 15:30:00-05:00,599.97,601.05,599.93,600.935,502252
2026-02-23 15:35:00-05:00,600.93,600.93,600.2792,600.47,303129
2026-02-23 15:40:00-05:00,600.46,600.63,600.07,600.535,311465
2026-02-23 15:45:00-05:00,600.54,600.88,600.25,600.82,371099
2026-02-23 15:50:00-05:00,600.84,601.24,600.17,600.22,753652
2026-02-23 15:55:00-05:00,600.22,601.535,600.06,601.46,1191086
2026-02-24 09:30:00-05:00,602.33,602.87,600.09,600.785,938783
2026-02-24 09:35:00-05:00,600.78,602.65,599.7391,602.39,831160
2026-02-24 09:40:00-05:00,602.34,604.97,602.33,604.94,863782
2026-02-24 09:45:00-05:00,604.95,606.22,604.83,605.755,1053671
2026-02-24 09:50:00-05:00,605.74,605.86,604.725,605.03,682407
2026-02-24 09:55:00-05:00,605.01,605.02,603.75,604.115,522832
2026-02-24 10:00:00-05:00,604.08,604.14,602.75,603.2499,454964
2026-02-24 10:05:00-05:00,603.225,604.81,603.17,604.6607,494138
2026-02-24 10:10:00-05:00,604.68,605.22,604.1401,604.1401,385788
2026-02-24 10:15:00-05:00,603.84,604.76,603.58,604.5332,433052
2026-02-24 10:20:00-05:00,604.51,605.93,604.4,605.84,669812
2026-02-24 10:25:00-05:00,605.87,607.43,605.57,607.38,647926
2026-02-24 10:30:00-05:00,607.36,607.66,607.04,607.32,700966
2026-02-24 10:35:00-05:00,607.34,607.38,606.77,607.11,365882
