,Open,High,Low,Close,Volume
2026-02-23 09:30:00-05:00,687.83,689.7599,687.67,689.39,1043313
2026-02-23 09:35:00-05:00,689.37,690.0,688.8901,689.57,1024474
2026-02-23 09:40:00-05:00,689.56,689.56,687.44,687.54,1100100
2026-02-23 09:45:00-05:00,687.55,687.89,686.76,686.9,978509
2026-02-23 09:50:00-05:00,686.9,688.14,686.86,687.15,771393
2026-02-23 09:55:00-05:00,687.07,687.25,686.3,686.53,705584
2026-02-23 10:00:00-05:00,686.48,687.23,685.22,685.28,734947
2026-02-23 10:05:00-05:00,685.28,685.71,684.66,684.93,921154
2026-02-23 10:10:00-05:00,684.94,685.67,684.53,684.77,792125
2026-02-23 10:15:00-05:00,684.76,685.03,684.51,684.955,698241
2026-02-23 10:20:00-05:00,684.9565,685.56,684.4212,684.8,722859
2026-02-23 10:25:00-05:00,684.83,684.86,684.2799,684.51,468922
2026-02-23 10:30:00-05:00,684.5,685.005,683.975,684.025,679428
2026-02-23 10:35:00-05:00,684.03,684.5,683.6399,684.1,622228
2026-02-23 10:40:00-05:00,684.09,684.25,683.41,683.67,474577
2026-02-23 10:45:00-05:00,683.67,683.945,683.37,683.555,570739
2026-02-23 10:50:00-05:00,683.57,683.87,682.67,682.8,671147
2026-02-23 10:55:00-05:00,682.8,682.915,682.18,682.26,666929
2026-02-23 11:00:00-05:00,682.26,682.51,680.8599,681.31,850382
2026-02-23 11:05:00-05:00,681.05,681.28,681.05,681.18,54359
2026-02-23 11:10:00-05:00,680.99,681.41,680.58,680.69,708577
2026-02-23 11:15:00-05:00,680.67,681.62,680.371,681.57,736076
2026-02-23 11:20:00-05:00,681.55,682.14,681.46,681.79,717548
2026-02-23 11:25:00-05:00,681.77,682.91,681.745,682.87,640556
2026-02-23 11:30:00-05:00,682.87,683.085,682.51,682.67,544353
2026-02-23 11:35:00-05:00,682.65,682.9797,682.41,682.48,423197
2026-02-23 11:40:00-05:00,682.46,682.745,682.21,682.395,397657
2026-02-23 11:45:00-05:00,682.385,682.57,681.78,682.1203,347009
2026-02-23 11:50:00-05:00,682.09,682.625,681.97,682.19,382665
2026-02-23 11:55:00-05:00,682.2,682.32,681.79,681.96,288532
2026-02-23 12:00:00-05:00,681.96,682.46,681.79,682.08,340050
2026-02-23 12:05:00-05:00,682.04,682.47,681.93,682.06,259920
2026-02-23 12:10:00-05:00,682.04,682.26,681.59,681.77,210417
2026-02-23 12:15:00-05:00,681.76,682.26,681.73,681.8201,258375
2026-02-23 12:20:00-05:00,681.965,682.05,681.9,681.945,20057
2026-02-23 12:25:00-05:00,681.84,682.07,681.67,681.69,202071
2026-02-23 12:30:00-05:00,681.7,681.74,681.27,681.35,208071
2026-02-23 12:35:00-05:00,681.33,681.36,680.61,680.62,416489
2026-02-23 12:40:00-05:00,680.62,681.7,680.59,681.16,451802
2026-02-23 12:45:00-05:00,681.16,681.535,680.98,681.11,249457
2026-02-23 12:50:00-05:00,681.1,682.17,681.07,681.955,313040
2026-02-23 12:55:00-05:00,681.955,682.35,681.79,682.045,394362
2026-02-23 13:00:00-05:00,682.03,682.509,681.94,682.42,259532
2026-02-23 13:05:00-05:00,682.41,682.9,682.37,682.88,327894
2026-02-23 13:10:00-05:00,682.88,683.19,682.64,683.08,308152
2026-02-23 13:15:00-05:00,683.09,683.41,682.98,683.14,342207
2026-02-23 13:20:00-05:00,683.16,683.79,683.07,683.74,333450
2026-02-23 13:25:00-05:00,683.72,683.95,683.57,683.8099,327942
2026-02-23 13:30:00-05:00,683.81,683.82,683.42,683.7,249019
2026-02-23 13:35:00-05:00,683.71,683.91,683.37,683.385,337821
2026-02-23 13:40:00-05:00,683.4,683.54,682.855,683.025,255511
2026-02-23 13:45:00-05:00,683.03,683.4,682.82,683.215,292002
2026-02-23 13:50:00-05:00,683.22,683.28,682.49,682.53,243817
2026-02-23 13:55:00-05:00,682.5,682.6,681.87,682.03,407423
2026-02-23 14:00:00-05:00,682.02,682.28,681.752,681.81,431690
2026-02-23 14:05:00-05:00,681.8,682.13,681.74,681.9001,351404
2026-02-23 14:10:00-05:00,681.91,682.15,681.695,681.87,438710
2026-02-23 14:15:00-05:00,681.84,682.085,681.61,681.76,248131
2026-02-23 14:20:00-05:00,681.75,681.905,681.55,681.7,249475
2026-02-23 14:25:00-05:00,681.745,681.88,681.17,681.27,262932
2026-02-23 14:30:00-05:00,681.255,681.66,681.22,681.31,311288
2026-02-23 14:35:00-05:00,681.3,681.32,680.95,681.13,280441
2026-02-23 14:40:00-05:00,681.135,681.16,680.54,680.86,332308
2026-02-23 14:45:00-05:00,680.86,681.5,680.77,681.37,481735
2026-02-23 14:50:00-05:00,681.36,681.46,681.0899,681.16,306872
2026-02-23 14:55:00-05:00,681.15,681.53,680.96,681.06,361647
2026-02-23 15:00:00-05:00,681.06,681.43,680.98,681.19,306722
2026-02-23 15:05:00-05:00,681.2,681.34,680.81,680.9,445209
2026-02-23 15:10:00-05:00,680.91,681.02,680.65,680.71,387241
2026-02-23 15:15:00-05:00,680.72,681.19,680.715,680.975,359686
2026-02-23 15:20:00-05:00,680.975,681.1,680.76,681.09,246209
2026-02-23 15:25:00-05:00,681.09,681.52,681.03,681.35,424764
2026-02-23 15:30:00-05:00,681.34,682.24,681.3,682.0835,769392
2026-02-23 15:35:00-05:00,682.08,682.08,681.49,681.625,530899
2026-02-23 15:40:00-05:00,681.62,681.78,681.15,681.655,445250
2026-02-23 15:45:00-05:00,681.655,681.99,681.355,681.933,540278
2026-02-23 15:50:00-05:00,681.94,682.25,680.96,681.06,1630865
2026-02-23 15:55:00-05:00,681.05,682.46,680.905,682.405,2061026
2026-02-24 09:30:00-05:00,681.9,682.2175,680.56,680.79,805868
2026-02-24 09:35:00-05:00,680.78,682.52,680.0,682.3,1122334
2026-02-24 09:40:00-05:00,682.24,684.38,682.19,684.32,866572
2026-02-24 09:45:00-05:00,684.34,685.46,684.03,684.87,1046340
2026-02-24 09:50:00-05:00,684.88,684.97,683.93,684.11,742069
2026-02-24 09:55:00-05:00,684.11,684.13,682.81,683.15,934311
2026-02-24 10:00:00-05:00,683.18,683.31,682.04,682.69,643516
2026-02-24 10:05:00-05:00,682.66,684.02,682.61,683.9,618692
2026-02-24 10:10:00-05:00,683.26,683.265,682.97,683.11,68844
2026-02-24 10:15:00-05:00,683.21,684.36,683.05,684.1501,446871
2026-02-24 10:20:00-05:00,684.15,685.21,684.04,685.165,633169
2026-02-24 10:25:00-05:00,685.18,686.39,684.9401,686.33,807998
2026-02-24 10:30:00-05:00,686.31,686.512,685.935,686.14,697750
2026-02-24 10:35:00-05:00,686.15,686.175,685.64,685.905,417960
2026-02-24 10:40:00-05:00,685.9,686.54,685.77,686.2701,304848
2026-02-24 10:45:00-05:00,686.28,686.3,685.88,686.045,184975
2026-02-24 10:50:00-05:00,686.02,686.04,685.46,685.605,322409
2026-02-24 10:55:00-05:00,685.61,685.805,685.1887,685.37,503592
2026-02-24 11:00:00-05:00,685.38,686.15,685.2921,686.04,402698
2026-02-24 11:05:00-05:00,686.06,686.32,685.85,686.15,289618
2026-02-24 11:10:00-05:00,686.13,686.87,685.93,686.6,433619
2026-02-24 11:15:00-05:00,686.58,686.745,686.02,686.21,343001
2026-02-24 11:20:00-05:00,686.21,686.215,685.785,685.99,286937
2026-02-24 11:25:00-05:00,686.01,686.235,685.895,686.09,158116
2026-02-24 11:30:00-05:00,686.1,686.125,685.15,685.27,350073
2026-02-24 11:35:00-05:00,685.27,685.84,685.22,685.74,364972
2026-02-24 11:40:00-05:00,685.71,686.15,685.46,685.5806,263408
2026-02-24 11:45:00-05:00,685.58,686.07,685.52,685.875,193521
2026-02-24 11:50:00-05:00,685.87,686.53,685.705,686.42,230814
2026-02-24 11:55:00-05:00,686.42,686.7,686.29,686.47,281746
2026-02-24 12:00:00-05:00,686.465,686.82,686.4,686.55,248363
2026-02-24 12:05:00-05:00,686.58,687.04,686.58,687.02,192395
2026-02-24 12:10:00-05:00,687.03,687.55,687.03,687.3,496734
2026-02-24 12:15:00-05:00,687.24,687.6,687.16,687.34,320439
2026-02-24 12:20:00-05:00,687.34,687.56,687.33,687.45,246136
2026-02-24 12:25:00-05:00,687.55,687.55,687.465,687.5,9351
