,Open,High,Low,Close,Volume
2026-02-23 09:30:00-05:00,407.29,407.7,404.45,406.36,1293742
2026-02-23 09:35:00-05:00,406.31,406.69,404.4,404.9247,964733
2026-02-23 09:40:00-05:00,404.885,405.17,402.69,402.94,999180
2026-02-23 09:45:00-05:00,402.86,403.88,402.48,403.05,800066
2026-02-23 09:50:00-05:00,403.0999,404.18,402.41,402.645,856284
2026-02-23 09:55:00-05:00,402.62,403.25,402.32,402.78,562161
2026-02-23 10:00:00-05:00,402.74,404.17,402.46,402.6442,748173
2026-02-23 10:05:00-05:00,402.71,404.1,402.0,403.6,712532
2026-02-23 10:10:00-05:00,403.6499,404.6,403.6,404.145,592585
2026-02-23 10:15:00-05:00,404.17,404.75,403.46,404.205,560620
2026-02-23 10:20:00-05:00,404.205,405.05,403.28,403.69,600166
2026-02-23 10:25:00-05:00,403.66,403.7899,403.0,403.38,424229
2026-02-23 10:30:00-05:00,403.4,404.07,402.86,402.98,536214
2026-02-23 10:35:00-05:00,402.9999,403.13,402.3,402.68,478665
2026-02-23 10:40:00-05:00,402.65,403.25,402.28,402.3701,395221
2026-02-23 10:45:00-05:00,402.4,402.94,402.19,402.4567,380461
2026-02-23 10:50:00-05:00,402.44,402.67,400.95,401.13,711441
2026-02-23 10:55:00-05:00,401.12,401.4,400.64,400.91,521582
2026-02-23 11:00:00-05:00,400.93,401.39,400.1202,400.365,516666
2026-02-23 11:05:00-05:00,400.365,400.45,399.125,399.1776,565220
2026-02-23 11:10:00-05:00,398.96,399.41,397.97,398.18,812265
2026-02-23 11:15:00-05:00,398.19,398.3999,397.25,398.23,753741
2026-02-23 11:20:00-05:00,398.22,398.48,396.97,397.11,687515
2026-02-23 11:25:00-05:00,397.09,398.08,396.62,397.97,667469
2026-02-23 11:30:00-05:00,397.99,398.5599,397.55,398.52,575500
2026-02-23 11:35:00-05:00,398.492,399.2599,398.16,398.37,468288
2026-02-23 11:40:00-05:00,398.39,399.2699,398.2,398.9051,373822
2026-02-23 11:45:00-05:00,398.935,399.0,397.9,398.64,460174
2026-02-23 11:50:00-05:00,398.63,399.0,398.18,398.8,425415
2026-02-23 11:55:00-05:00,398.8299,399.0,398.095,398.355,287290
2026-02-23 12:00:00-05:00,398.33,398.98,398.03,398.375,309688
