id,ticker,type,strike,occ_symbol,entry_bar_utc,exit_bar_utc,why,entry_prem,exit_prem,pnl_pct,quality,pnl_underlying,why_u,pnl_adj
36,AAPL,call,322.5,AAPL260717C00322500,2026-07-13T13:35:00Z,2026-07-13T13:40:00Z,TARGET,3.8,4.08,7.37,ok,0.1384999787192668,TARGET,5.744125326370763
37,TSLA,put,395.0,TSLA  260717P00395000,2026-07-13T13:35:00Z,2026-07-13T13:40:00Z,TARGET,7.83,7.55,-3.58,ok,0.2263344283623382,TARGET,-4.325699745547083
38,QQQ,put,715.0,QQQ   260717P00715000,2026-07-13T13:35:00Z,2026-07-13T13:40:00Z,TARGET,7.07,7.38,4.38,ok,0.0827739810881544,TARGET,3.521126760563367
39,NVDA,put,207.5,NVDA260717P00207500,2026-07-13T13:40:00Z,2026-07-13T13:50:00Z,TARGET,3.55,3.98,12.11,ok,0.1712031752832503,TARGET,10.335195530726274
40,AAPL,call,315.0,AAPL260717C00315000,2026-07-14T13:35:00Z,2026-07-14T13:45:00Z,TARGET,3.5,2.88,-17.71,ok,0.1683759788176676,TARGET,-19.26345609065155
41,NVDA,put,202.5,NVDA260717P00202500,2026-07-14T13:35:00Z,2026-07-14T13:40:00Z,TARGET,2.57,2.58,0.39,ok,0.2070182198282449,TARGET,-1.9230769230768996
42,QQQ,put,716.0,QQQ   260717P00716000,2026-07-14T14:05:00Z,2026-07-14T14:15:00Z,TARGET,6.56,6.96,6.1,ok,0.1165430503514631,TARGET,5.159332321699543
43,TSLA,put,395.0,TSLA  260717P00395000,2026-07-14T15:50:00Z,2026-07-14T17:00:00Z,TARGET,6.5,6.45,-0.77,ok,0.1762991397542941,TARGET,-1.68453292496172
44,QQQ,put,722.0,QQQ   260717P00722000,2026-07-15T13:35:00Z,2026-07-15T13:40:00Z,TARGET,5.13,5.69,10.92,ok,0.0765187369510698,TARGET,9.689922480620154
45,AAPL,call,322.5,AAPL260717C00322500,2026-07-15T13:40:00Z,2026-07-15T13:45:00Z,TARGET,2.43,2.27,-6.58,ok,0.1330598645494873,TARGET,-8.943089430894299
46,SPY,put,753.0,SPY   260717P00753000,2026-07-15T13:45:00Z,2026-07-15T13:50:00Z,TARGET,2.5,2.21,-11.6,ok,0.0465666150350797,TARGET,-13.833992094861646
47,TSLA,put,397.5,TSLA  260717P00397500,2026-07-15T13:50:00Z,2026-07-15T14:15:00Z,TARGET,5.88,6.13,4.25,ok,0.2132817772294155,TARGET,3.214890016920465
48,NVDA,put,210.0,NVDA260717P00210000,2026-07-15T13:50:00Z,2026-07-15T14:00:00Z,TARGET,2.33,2.49,6.87,ok,0.1888204015406686,TARGET,4.237288135593243
49,NVDA,put,207.5,NVDA260717P00207500,2026-07-16T13:35:00Z,2026-07-16T13:40:00Z,TARGET,1.9,2.18,14.74,ok,0.1951421268599728,TARGET,11.398963730569971
50,QQQ,put,710.0,QQQ   260717P00710000,2026-07-16T13:35:00Z,2026-07-16T13:40:00Z,TARGET,4.44,5.24,18.02,ok,0.0974207339271998,TARGET,16.55480984340043
51,TSLA,put,385.0,TSLA  260717P00385000,2026-07-16T13:40:00Z,2026-07-16T13:50:00Z,TARGET,4.2,4.33,3.1,ok,0.1884146502546123,TARGET,1.6548463356973848
52,AAPL,call,330.0,AAPL260717C00330000,2026-07-16T13:50:00Z,2026-07-16T13:55:00Z,TARGET,2.54,3.18,25.2,ok,0.1443950015227815,TARGET,22.56809338521403
53,QQQ,put,688.0,QQQ   260717P00688000,2026-07-17T13:35:00Z,2026-07-17T13:40:00Z,TARGET,3.34,3.9,16.77,ok,0.1616633345573466,TARGET,14.836795252225535
54,TSLA,put,377.5,TSLA  260717P00377500,2026-07-17T13:35:00Z,2026-07-17T13:40:00Z,TARGET,2.49,2.97,19.28,ok,0.2687761500712176,TARGET,16.666666666666682
55,NVDA,put,197.5,NVDA260717P00197500,2026-07-17T13:35:00Z,2026-07-17T13:40:00Z,TARGET,0.92,1.31,42.39,ok,0.2688518589757213,TARGET,34.73684210526315
56,AAPL,call,335.0,AAPL260717C00335000,2026-07-17T13:35:00Z,2026-07-17T13:50:00Z,STOP,1.97,0.78,-60.41,ok,-1.0941539649027798,STOP,-62.5
57,SPY,call,744.0,SPY   260717C00744000,2026-07-17T13:45:00Z,2026-07-17T13:50:00Z,TARGET,1.53,1.83,19.61,ok,0.0970946253432186,TARGET,15.384615384615383
