id,ticker,type,strike,occ_symbol,entry_bar_utc,exit_bar_utc,why,entry_prem,exit_prem,pnl_pct,quality
33,QQQ,PUT,710,QQQ   260717P00710000,2026-07-13T19:20:00Z,2026-07-13T19:25:00Z,TARGET,7.36,7.62,3.53,ok
38,SPY,CALL,752,SPY   260717C00752000,2026-07-14T13:35:00Z,2026-07-14T13:45:00Z,TARGET,3.66,3.48,-4.92,ok
39,AAPL,CALL,317.5,AAPL  260717C00317500,2026-07-14T13:35:00Z,2026-07-14T19:55:00Z,EOD,2.36,2.05,-13.14,ok
42,TSLA,PUT,395,TSLA  260717P00395000,2026-07-14T13:45:00Z,2026-07-14T15:10:00Z,STOP,6.18,4.75,-23.14,ok
73,NVDA,PUT,210,NVDA  260717P00210000,2026-07-15T14:00:00Z,2026-07-15T14:20:00Z,TARGET,2.49,2.84,14.06,ok
110,NVDA,PUT,207.5,NVDA  260717P00207500,2026-07-16T13:35:00Z,2026-07-16T13:40:00Z,TARGET,1.90,2.18,14.74,ok
118,QQQ,PUT,708,QQQ   260717P00708000,2026-07-16T13:40:00Z,2026-07-16T13:45:00Z,TARGET,4.31,4.91,13.92,ok
149,NVDA,PUT,197.5,NVDA  260717P00197500,2026-07-17T13:35:00Z,2026-07-17T13:40:00Z,TARGET,0.92,1.31,42.39,ok
171,NVDA,CALL,207.5,NVDA  260717C00207500,2026-07-17T14:10:00Z,2026-07-17T14:15:00Z,TARGET,0.49,0.63,28.57,ok
179,TSLA,CALL,385,TSLA  260717C00385000,2026-07-17T16:45:00Z,2026-07-17T17:05:00Z,TARGET,1.48,1.61,8.78,ok
