id,ticker,type,strike,occ_symbol,entry_bar_utc,exit_bar_utc,why,entry_prem,exit_prem,pnl_pct,quality
2,QQQ,PUT,715,QQQ 260717P00715000,2026-07-13T13:35:00Z,2026-07-13T13:40:00Z,TARGET,7.07,7.38,4.38,ok
3,NVDA,PUT,207.5,NVDA 260717P00207500,2026-07-13T13:40:00Z,2026-07-13T13:50:00Z,TARGET,3.55,3.98,12.11,ok
4,SPY,PUT,751,SPY 260717P00751000,2026-07-13T13:50:00Z,2026-07-13T14:00:00Z,STOP,3.24,3.13,-3.40,ok
7,SPY,CALL,752,SPY 260717C00752000,2026-07-14T13:35:00Z,2026-07-14T13:40:00Z,TARGET,3.66,3.68,0.55,ok
11,SPY,CALL,756,SPY 260717C00756000,2026-07-15T13:35:00Z,2026-07-15T13:45:00Z,STOP,2.27,1.78,-21.59,ok
18,TSLA,PUT,385,TSLA 260717P00385000,2026-07-16T13:40:00Z,2026-07-16T13:50:00Z,TARGET,4.20,4.33,3.10,ok
19,AAPL,CALL,330,AAPL 260717C00330000,2026-07-16T13:45:00Z,2026-07-16T13:50:00Z,TARGET,2.21,2.54,14.93,ok
21,SPY,PUT,740,SPY 260717P00740000,2026-07-17T13:35:00Z,2026-07-17T13:40:00Z,STOP,1.41,1.61,14.18,ok
22,NVDA,PUT,197.5,NVDA 260717P00197500,2026-07-17T13:35:00Z,2026-07-17T13:40:00Z,TARGET,0.92,1.31,42.39,ok
23,TSLA,PUT,377.5,TSLA 260717P00377500,2026-07-17T13:35:00Z,2026-07-17T13:40:00Z,TARGET,2.49,2.97,19.28,ok
24,AAPL,CALL,335,AAPL 260717C00335000,2026-07-17T13:35:00Z,2026-07-17T13:50:00Z,STOP,1.97,0.78,-60.41,ok
