id,ticker,dir,entry_utc,exit_utc,entry_px,exit_px,why,pnl
0,TSLA,-1,2026-07-13T13:35:00Z,2026-07-13T13:37:00Z,397.4532,396.53431723761753,TARGET,0.231192694481376
1,AAPL,1,2026-07-13T13:35:00Z,2026-07-13T13:38:00Z,320.8509,321.3247820992059,TARGET,0.14769542463676003
2,QQQ,-1,2026-07-13T13:37:00Z,2026-07-13T13:40:00Z,715.556,714.8768536307261,TARGET,0.0949117007297674
3,TSLA,-1,2026-07-13T13:37:00Z,2026-07-13T13:43:00Z,395.88,394.9530041487621,TARGET,0.23416081924772783
4,AAPL,1,2026-07-13T13:38:00Z,2026-07-13T13:49:00Z,322.34,322.85441380173296,TARGET,0.1595873306859171
5,QQQ,-1,2026-07-13T13:40:00Z,2026-07-13T13:45:00Z,714.6,713.870337436846,TARGET,0.10210783139575695
6,NVDA,-1,2026-07-13T13:43:00Z,2026-07-13T13:53:00Z,207.915,207.44469449517106,TARGET,0.22620085363197878
7,QQQ,-1,2026-07-13T13:45:00Z,2026-07-13T14:16:00Z,713.82,713.0951173207943,TARGET,0.10154978554898074
8,AAPL,1,2026-07-13T13:49:00Z,2026-07-13T13:50:00Z,322.9055,323.361955717511,TARGET,0.14135891693111616
9,AAPL,1,2026-07-13T13:50:00Z,2026-07-13T15:35:00Z,323.2894,316.45,STOP,-2.115565805745568
10,SPY,-1,2026-07-13T13:51:00Z,2026-07-13T14:00:00Z,751.9899,753.91,STOP,-0.2553358761866261
11,NVDA,-1,2026-07-13T13:53:00Z,2026-07-13T14:54:00Z,207.365,206.9134085048259,TARGET,0.21777614118781555
12,SPY,-1,2026-07-13T14:16:00Z,2026-07-13T14:17:00Z,751.38,750.9598265452395,TARGET,0.05592023407071197
13,NVDA,-1,2026-07-13T14:54:00Z,2026-07-13T16:00:00Z,206.79,206.52866336413598,TARGET,0.12637779189709955
14,QQQ,1,2026-07-13T15:00:00Z,2026-07-13T15:46:00Z,718.52,715.925,STOP,-0.36115904915660346
15,AAPL,-1,2026-07-13T15:35:00Z,2026-07-13T17:15:00Z,316.14,315.90021270643905,TARGET,0.07584845118015345
16,NVDA,-1,2026-07-13T16:00:00Z,2026-07-13T16:01:00Z,206.56,206.38477317182463,TARGET,0.08483095864415599
17,NVDA,-1,2026-07-13T16:01:00Z,2026-07-13T16:04:00Z,206.375,206.19525365955144,TARGET,0.08709695479033785
18,NVDA,-1,2026-07-13T16:04:00Z,2026-07-13T16:05:00Z,206.19,206.00078982872978,TARGET,0.09176496011941343
19,NVDA,-1,2026-07-13T16:05:00Z,2026-07-13T16:26:00Z,205.8901,205.69136912667764,TARGET,0.0965227921703604
20,SPY,-1,2026-07-13T16:30:00Z,2026-07-13T16:31:00Z,749.82,749.6189449787822,TARGET,0.026813771467529
21,NVDA,-1,2026-07-13T16:32:00Z,2026-07-13T16:33:00Z,205.39,205.2144212468059,TARGET,0.08548554126008483
22,NVDA,-1,2026-07-13T16:33:00Z,2026-07-13T16:34:00Z,205.3107,205.13293044346264,TARGET,0.08658562682673444
23,NVDA,-1,2026-07-13T16:34:00Z,2026-07-13T16:35:00Z,205.14,204.9630354117867,TARGET,0.08626527650057554
24,SPY,-1,2026-07-13T16:35:00Z,2026-07-13T16:36:00Z,749.21,748.9886946900974,TARGET,0.02953848852826555
25,QQQ,-1,2026-07-13T16:35:00Z,2026-07-13T16:36:00Z,712.19,711.8492758084716,TARGET,0.047841754521752024
26,AAPL,-1,2026-07-13T17:15:00Z,2026-07-13T19:55:00Z,315.9099,317.56,EOD,-0.5223324751772607
27,QQQ,-1,2026-07-13T18:30:00Z,2026-07-13T19:20:00Z,711.57,711.2938209771467,TARGET,0.038812628814227444
28,TSLA,-1,2026-07-13T19:00:00Z,2026-07-13T19:10:00Z,392.1601,391.92114468883017,TARGET,0.06093310134555553
29,TSLA,-1,2026-07-13T19:10:00Z,2026-07-13T19:11:00Z,392.02,391.7787535940151,TARGET,0.06153931074559864
30,TSLA,-1,2026-07-13T19:11:00Z,2026-07-13T19:23:00Z,391.72,391.4729979801569,TARGET,0.0630557591757217
31,QQQ,-1,2026-07-13T19:20:00Z,2026-07-13T19:22:00Z,711.39,711.1508537399635,TARGET,0.03361675874505933
32,SPY,-1,2026-07-13T19:23:00Z,2026-07-13T19:25:00Z,748.86,748.6975178720317,TARGET,0.02169726356974069
33,QQQ,-1,2026-07-13T19:23:00Z,2026-07-13T19:26:00Z,710.95,710.6972387633746,TARGET,0.035552603787252876
34,SPY,-1,2026-07-13T19:26:00Z,2026-07-13T19:27:00Z,748.61,748.4439897648883,TARGET,0.022175797158959242
35,SPY,-1,2026-07-13T19:27:00Z,2026-07-13T19:29:00Z,748.46,748.2958619245392,TARGET,0.02193010654689215
36,QQQ,-1,2026-07-13T19:27:00Z,2026-07-13T19:38:00Z,710.49,710.2415876866603,TARGET,0.03496352001290847
37,AAPL,1,2026-07-14T13:37:00Z,2026-07-14T13:38:00Z,314.7,315.2749077932069,TARGET,0.18268439568062683
38,SPY,1,2026-07-14T13:38:00Z,2026-07-14T13:45:00Z,751.16,751.5327021483578,TARGET,0.0496168790081744
39,AAPL,1,2026-07-14T13:38:00Z,2026-07-14T19:55:00Z,315.66,314.8,EOD,-0.2724450357980148
40,NVDA,-1,2026-07-14T13:39:00Z,2026-07-14T15:21:00Z,204.245,208.35,STOP,-2.0098411221816885
41,SPY,1,2026-07-14T13:45:00Z,2026-07-14T14:15:00Z,751.68,749.5443,STOP,-0.2841235632183814
42,TSLA,-1,2026-07-14T13:47:00Z,2026-07-14T15:10:00Z,395.67,400.82,STOP,-1.301589708595541
43,QQQ,-1,2026-07-14T14:05:00Z,2026-07-14T14:09:00Z,716.795,716.1039861646652,TARGET,0.09640327225144278
44,QQQ,-1,2026-07-14T14:15:00Z,2026-07-14T14:16:00Z,715.48,714.8075709576455,TARGET,0.09398292647657032
45,QQQ,-1,2026-07-14T14:16:00Z,2026-07-14T14:34:00Z,715.24,720.286,STOP,-0.7054974553995772
46,SPY,1,2026-07-14T14:34:00Z,2026-07-14T15:04:00Z,752.03,752.4899107591419,TARGET,0.06115590590029154
47,QQQ,1,2026-07-14T15:08:00Z,2026-07-14T15:24:00Z,721.36,721.8572069534993,TARGET,0.06892632714584178
48,TSLA,1,2026-07-14T15:10:00Z,2026-07-14T15:52:00Z,401.9354,396.7,STOP,-1.302547623324551
49,NVDA,1,2026-07-14T15:21:00Z,2026-07-14T15:22:00Z,208.5,208.70446290121345,TARGET,0.09806374158918296
50,NVDA,1,2026-07-14T15:22:00Z,2026-07-14T15:28:00Z,208.75,208.96771555112676,TARGET,0.1042948747912616
51,QQQ,1,2026-07-14T15:24:00Z,2026-07-14T15:30:00Z,721.755,722.1020954305936,TARGET,0.048090478153063054
52,NVDA,1,2026-07-14T15:28:00Z,2026-07-14T15:44:00Z,208.995,209.214559476951,TARGET,0.10505489459125385
53,NVDA,1,2026-07-14T16:20:00Z,2026-07-14T16:29:00Z,209.36,209.5730442874336,TARGET,0.10175978574397
54,NVDA,1,2026-07-14T16:34:00Z,2026-07-14T16:42:00Z,209.88,210.07999947057166,TARGET,0.09529229586986315
55,NVDA,1,2026-07-14T16:42:00Z,2026-07-14T16:43:00Z,209.97,210.16721473159933,TARGET,0.09392519483703915
56,NVDA,1,2026-07-14T16:43:00Z,2026-07-14T16:53:00Z,210.2199,210.4199029650565,TARGET,0.09513988212177463
57,NVDA,1,2026-07-14T16:53:00Z,2026-07-14T16:55:00Z,210.36,210.54787403470593,TARGET,0.0893107219556539
58,NVDA,1,2026-07-14T16:55:00Z,2026-07-14T16:57:00Z,210.53,210.71904699931275,TARGET,0.08979575324787491
59,TSLA,-1,2026-07-14T17:15:00Z,2026-07-14T19:55:00Z,395.075,396.61,EOD,-0.3885338226919003
60,AAPL,1,2026-07-15T13:35:00Z,2026-07-15T13:36:00Z,319.27,319.7812494111868,TARGET,0.16013073924478927
61,TSLA,1,2026-07-15T13:36:00Z,2026-07-15T13:37:00Z,405.4798,406.36048146748396,TARGET,0.21719490526629265
62,SPY,1,2026-07-15T13:36:00Z,2026-07-15T13:45:00Z,755.4144,754.18,STOP,-0.1634069988604997
63,QQQ,-1,2026-07-15T13:37:00Z,2026-07-15T13:38:00Z,721.98,721.4002429872905,TARGET,0.08030097962678726
64,AAPL,1,2026-07-15T13:43:00Z,2026-07-15T13:44:00Z,320.345,320.826275100694,TARGET,0.15023649524542268
65,AAPL,1,2026-07-15T13:44:00Z,2026-07-15T13:45:00Z,321.17,321.6643036649301,TARGET,0.15390717219232825
66,SPY,-1,2026-07-15T13:45:00Z,2026-07-15T13:46:00Z,753.995,753.6723186653202,TARGET,0.04279621677595051
67,AAPL,1,2026-07-15T13:45:00Z,2026-07-15T14:03:00Z,321.675,322.1799605460065,TARGET,0.15697848636247352
68,QQQ,-1,2026-07-15T13:50:00Z,2026-07-15T14:22:00Z,719.26,718.6901735528701,TARGET,0.07922398675442992
69,TSLA,-1,2026-07-15T13:50:00Z,2026-07-15T13:51:00Z,399.0,398.09241389701737,TARGET,0.22746518871745217
70,NVDA,-1,2026-07-15T13:51:00Z,2026-07-15T14:04:00Z,211.01,210.62291839676018,TARGET,0.1834423028481147
71,TSLA,-1,2026-07-15T13:51:00Z,2026-07-15T14:16:00Z,397.747,396.79522361865895,TARGET,0.23929190700145128
72,AAPL,1,2026-07-15T14:03:00Z,2026-07-15T14:05:00Z,322.915,323.41671899015495,TARGET,0.1553718440316886
73,NVDA,-1,2026-07-15T14:04:00Z,2026-07-15T14:24:00Z,210.64,210.2681351296058,TARGET,0.17654048157718227
74,AAPL,1,2026-07-15T14:05:00Z,2026-07-15T14:10:00Z,323.55,324.0300566802867,TARGET,0.14837171388863535
75,AAPL,1,2026-07-15T14:10:00Z,2026-07-15T14:12:00Z,324.41,324.897757994611,TARGET,0.15035233026448067
76,AAPL,1,2026-07-15T14:15:00Z,2026-07-15T15:33:00Z,325.365,325.8113200491111,TARGET,0.13717518759272807
77,TSLA,-1,2026-07-15T14:23:00Z,2026-07-15T14:24:00Z,395.05,394.3190861679472,TARGET,0.18501805646191782
78,QQQ,-1,2026-07-15T14:23:00Z,2026-07-15T14:24:00Z,717.695,717.1320927229111,TARGET,0.07843265970766483
79,TSLA,-1,2026-07-15T14:24:00Z,2026-07-15T14:26:00Z,394.19,393.4459425130938,TARGET,0.1887560534022101
80,NVDA,-1,2026-07-15T14:24:00Z,2026-07-15T14:25:00Z,209.95,209.5920727981103,TARGET,0.17048211568929755
81,QQQ,-1,2026-07-15T14:24:00Z,2026-07-15T14:25:00Z,717.0205,716.4281575284174,TARGET,0.08261165079416602
82,NVDA,-1,2026-07-15T14:25:00Z,2026-07-15T14:26:00Z,209.73,209.36228188395958,TARGET,0.1753292881516271
83,QQQ,-1,2026-07-15T14:36:00Z,2026-07-15T14:39:00Z,715.72,715.0752085513798,TARGET,0.09008990228305112
84,QQQ,-1,2026-07-15T14:42:00Z,2026-07-15T16:03:00Z,713.86,713.2137132106549,TARGET,0.0905341088371866
85,NVDA,-1,2026-07-15T15:14:00Z,2026-07-15T15:15:00Z,209.12,208.87958298602277,TARGET,0.11496605488582447
86,NVDA,-1,2026-07-15T15:15:00Z,2026-07-15T15:16:00Z,208.9594,208.71553062987826,TARGET,0.11670658037959956
87,SPY,-1,2026-07-15T15:16:00Z,2026-07-15T15:17:00Z,752.5995,752.3423139174434,TARGET,0.0341730339385804
88,NVDA,-1,2026-07-15T15:16:00Z,2026-07-15T15:17:00Z,208.6401,208.39168558488697,TARGET,0.11906360048380829
89,AAPL,1,2026-07-15T15:33:00Z,2026-07-15T15:34:00Z,325.91,326.17849846389134,TARGET,0.08238423610546447
90,AAPL,1,2026-07-15T15:34:00Z,2026-07-15T15:36:00Z,326.04,326.31396285932766,TARGET,0.08402737680273564
91,NVDA,-1,2026-07-15T16:01:00Z,2026-07-15T16:03:00Z,208.2601,208.05066284398768,TARGET,0.10056518555993856
92,SPY,-1,2026-07-15T16:02:00Z,2026-07-15T16:03:00Z,752.08,751.8730503684212,TARGET,0.027516970479047817
93,NVDA,-1,2026-07-15T16:03:00Z,2026-07-15T16:04:00Z,207.94,207.73008352364243,TARGET,0.10095050320167497
94,SPY,-1,2026-07-15T16:03:00Z,2026-07-15T16:06:00Z,751.85,751.6337253421054,TARGET,0.028765665743776966
95,QQQ,-1,2026-07-15T16:03:00Z,2026-07-15T16:05:00Z,713.285,712.9103213273279,TARGET,0.05252860675215036
96,NVDA,-1,2026-07-15T16:04:00Z,2026-07-15T16:05:00Z,207.82,207.60659005766797,TARGET,0.10268979998653682
97,QQQ,-1,2026-07-15T16:05:00Z,2026-07-15T16:06:00Z,712.95,712.5720627771349,TARGET,0.053010340537929856
98,QQQ,-1,2026-07-15T16:06:00Z,2026-07-15T16:14:00Z,712.61,712.2312011501966,TARGET,0.05315654422522674
99,SPY,-1,2026-07-15T16:06:00Z,2026-07-15T16:14:00Z,751.56,751.33722204869,TARGET,0.029642071332950423
