id,ticker,dir,entry_utc,exit_utc,entry_px,exit_px,why,pnl
0,AAPL,1,2026-07-13T13:35:00Z,2026-07-13T13:36:00Z,320.8509,321.16682139947056,TARGET,0.09846361642449487
1,TSLA,-1,2026-07-13T13:35:00Z,2026-07-13T13:36:00Z,397.4532,396.840611491745,TARGET,0.15412846298758878
2,QQQ,-1,2026-07-13T13:37:00Z,2026-07-13T13:40:00Z,715.556,715.1032357538174,TARGET,0.06327446715317826
3,NVDA,-1,2026-07-13T13:43:00Z,2026-07-13T13:51:00Z,207.915,207.6014629967807,TARGET,0.15080056908799042
4,SPY,-1,2026-07-13T13:51:00Z,2026-07-13T14:00:00Z,751.9899,753.91,STOP,-0.2553358761866261
5,AAPL,1,2026-07-14T13:37:00Z,2026-07-14T13:38:00Z,314.7,315.0832718621379,TARGET,0.12178959712040585
6,NVDA,-1,2026-07-14T13:38:00Z,2026-07-14T13:39:00Z,204.6875,204.38348339128552,TARGET,0.14852719815058413
7,SPY,1,2026-07-14T13:38:00Z,2026-07-14T13:42:00Z,751.16,751.4084680989052,TARGET,0.033077919338793026
8,TSLA,-1,2026-07-14T13:46:00Z,2026-07-14T13:47:00Z,396.43,395.86863800176474,TARGET,0.1416043180978408
9,QQQ,-1,2026-07-14T14:05:00Z,2026-07-14T14:09:00Z,716.795,716.3343241097768,TARGET,0.06426884816762324
10,AAPL,1,2026-07-15T13:35:00Z,2026-07-15T13:36:00Z,319.27,319.6108329407912,TARGET,0.10675382616319878
11,SPY,1,2026-07-15T13:36:00Z,2026-07-15T13:45:00Z,755.4144,754.18,STOP,-0.1634069988604997
12,TSLA,1,2026-07-15T13:36:00Z,2026-07-15T13:37:00Z,405.4798,406.0669209783226,TARGET,0.1447966035108571
13,QQQ,-1,2026-07-15T13:37:00Z,2026-07-15T13:38:00Z,721.98,721.5934953248604,TARGET,0.05353398641784767
14,NVDA,-1,2026-07-15T13:51:00Z,2026-07-15T13:53:00Z,211.01,210.75194559784012,TARGET,0.12229486856540979
15,SPY,-1,2026-07-16T13:35:00Z,2026-07-16T13:38:00Z,752.02,751.79435424252,TARGET,0.030005286758335935
16,NVDA,-1,2026-07-16T13:35:00Z,2026-07-16T13:38:00Z,208.6204,208.31424628134732,TARGET,0.1467515730257762
17,QQQ,-1,2026-07-16T13:35:00Z,2026-07-16T13:38:00Z,710.85,710.4163904359748,TARGET,0.06099874291696313
18,TSLA,-1,2026-07-16T13:44:00Z,2026-07-16T13:51:00Z,386.65,386.1134873133,TARGET,0.138759262045765
19,AAPL,1,2026-07-16T13:46:00Z,2026-07-16T13:52:00Z,329.455,329.79160142586295,TARGET,0.10216916600536223
20,QQQ,-1,2026-07-17T13:35:00Z,2026-07-17T13:37:00Z,689.93,689.2227459129743,TARGET,0.10251099198840513
21,SPY,-1,2026-07-17T13:35:00Z,2026-07-17T13:41:00Z,740.89,742.62,STOP,-0.2335029491557476
22,NVDA,-1,2026-07-17T13:37:00Z,2026-07-17T13:40:00Z,199.76,199.40504486071057,TARGET,0.1776907986030316
23,TSLA,-1,2026-07-17T13:39:00Z,2026-07-17T13:42:00Z,378.38,377.6144409017551,TARGET,0.20232546599844634
24,AAPL,1,2026-07-17T13:39:00Z,2026-07-17T13:51:00Z,334.96,331.295,STOP,-1.0941604967757237
