id,ticker,dir,entry_ts,exit_ts,entry_px,exit_px,why,pnl_underlying
0,AAPL,-1,2026-06-29 09:35:00-04:00,2026-06-29 09:40:00-04:00,285.6849975585937,284.7412765397664,TARGET,0.3303362188746934
1,NVDA,1,2026-06-29 09:40:00-04:00,2026-06-29 10:10:00-04:00,195.8000030517578,192.1100006103516,STOP,-1.8845773155737926
2,SPY,1,2026-06-29 09:40:00-04:00,2026-06-29 10:05:00-04:00,739.239990234375,735.2999877929688,STOP,-0.5329801544092708
3,QQQ,1,2026-06-29 09:40:00-04:00,2026-06-29 09:50:00-04:00,717.2899780273438,718.4834234882811,TARGET,0.16638256458280998
4,TSLA,1,2026-06-30 09:35:00-04:00,2026-06-30 09:40:00-04:00,411.4281921386719,412.2758301771613,TARGET,0.20602332428491898
5,AAPL,1,2026-06-30 09:35:00-04:00,2026-06-30 09:50:00-04:00,284.3450012207031,284.770190695326,TARGET,0.1495329521523203
6,QQQ,1,2026-06-30 09:35:00-04:00,2026-06-30 09:40:00-04:00,727.6799926757812,728.2477574483671,TARGET,0.07802396359670546
7,SPY,1,2026-06-30 09:45:00-04:00,2026-06-30 09:50:00-04:00,742.010009765625,742.319017121884,TARGET,0.04164463446478777
8,NVDA,1,2026-06-30 10:00:00-04:00,2026-06-30 14:15:00-04:00,198.5449981689453,198.94300487962667,TARGET,0.20046171616103226
9,QQQ,1,2026-07-01 09:55:00-04:00,2026-07-01 10:05:00-04:00,730.1699829101562,730.9267121637669,TARGET,0.10363740927757735
10,TSLA,1,2026-07-01 10:05:00-04:00,2026-07-01 10:40:00-04:00,426.6799926757813,427.7644343974311,TARGET,0.2541580904342576
11,AAPL,1,2026-07-01 10:35:00-04:00,2026-07-01 10:40:00-04:00,293.57000732421875,294.08616031152724,TARGET,0.17581938700517452
12,NVDA,1,2026-07-01 11:00:00-04:00,2026-07-01 11:20:00-04:00,196.2200927734375,196.6074817506282,TARGET,0.1974257435694941
13,AAPL,1,2026-07-02 09:35:00-04:00,2026-07-02 09:40:00-04:00,300.1300048828125,300.6904004595019,TARGET,0.1867176115591061
14,QQQ,1,2026-07-02 09:45:00-04:00,2026-07-02 09:50:00-04:00,728.0999755859375,728.8198494140269,TARGET,0.09887018984035052
15,TSLA,-1,2026-07-06 09:35:00-04:00,2026-07-06 09:45:00-04:00,392.6600036621094,400.6600036621094,STOP,-2.037386014717235
16,AAPL,1,2026-07-06 09:35:00-04:00,2026-07-06 09:40:00-04:00,309.4339904785156,309.8536994042659,TARGET,0.1356376282712956
17,NVDA,1,2026-07-06 09:35:00-04:00,2026-07-06 09:50:00-04:00,195.4250030517578,195.73607777041195,TARGET,0.15917856660938773
18,QQQ,1,2026-07-06 09:45:00-04:00,2026-07-06 09:50:00-04:00,722.6754150390625,723.6899355860005,TARGET,0.14038398509559982
19,AAPL,-1,2026-07-07 09:35:00-04:00,2026-07-07 15:55:00-04:00,311.2699890136719,310.88066022879775,TARGET,0.12507752067836628
20,SPY,-1,2026-07-07 09:50:00-04:00,2026-07-07 09:55:00-04:00,748.9400024414062,748.6253567471316,TARGET,0.042012136252431234
21,QQQ,-1,2026-07-07 09:50:00-04:00,2026-07-07 10:05:00-04:00,710.7899780273438,709.9748080937817,TARGET,0.11468506292455088
22,NVDA,1,2026-07-07 10:00:00-04:00,2026-07-07 10:35:00-04:00,193.1999969482422,191.44000244140625,STOP,-0.9109702560230556
23,SPY,1,2026-07-08 09:40:00-04:00,2026-07-08 09:45:00-04:00,744.3400268554688,744.807542773277,TARGET,0.06280945548276867
24,AAPL,-1,2026-07-08 09:40:00-04:00,2026-07-08 09:45:00-04:00,307.9158020019531,307.47765794098444,TARGET,0.1422934640314117
25,QQQ,1,2026-07-08 09:40:00-04:00,2026-07-08 09:45:00-04:00,708.5449829101562,709.2267380153319,TARGET,0.09621902936571526
26,TSLA,-1,2026-07-08 09:50:00-04:00,2026-07-08 09:55:00-04:00,394.7749938964844,393.86667448407485,TARGET,0.2300853464512243
27,QQQ,1,2026-07-09 09:35:00-04:00,2026-07-09 09:45:00-04:00,720.8400268554688,721.5988328633927,TARGET,0.10526690800371608
28,AAPL,1,2026-07-09 09:35:00-04:00,2026-07-09 10:25:00-04:00,311.7900085449219,312.2168137339186,TARGET,0.13688866778912814
29,SPY,1,2026-07-09 09:35:00-04:00,2026-07-09 09:45:00-04:00,748.1199951171875,748.5236798321351,TARGET,0.053959888464738884
30,NVDA,-1,2026-07-09 09:35:00-04:00,2026-07-09 09:40:00-04:00,202.4850006103516,202.0997975592616,TARGET,0.19023782005031614
31,TSLA,1,2026-07-09 10:00:00-04:00,2026-07-09 11:45:00-04:00,398.010009765625,398.84896612990923,TARGET,0.21078775500602684
32,TSLA,-1,2026-07-10 09:35:00-04:00,2026-07-10 09:40:00-04:00,406.239990234375,405.34143155922237,TARGET,0.22118912385612663
33,NVDA,1,2026-07-10 09:40:00-04:00,2026-07-10 09:45:00-04:00,204.6199951171875,205.00737035003462,TARGET,0.18931445708679004
34,SPY,1,2026-07-10 09:45:00-04:00,2026-07-10 10:00:00-04:00,753.030029296875,753.286849319668,TARGET,0.03410488463957034
35,AAPL,-1,2026-07-10 10:25:00-04:00,2026-07-10 10:30:00-04:00,313.1300048828125,312.7943368695275,TARGET,0.10719765210957975
36,AAPL,1,2026-07-13 09:35:00-04:00,2026-07-13 09:40:00-04:00,321.6499938964844,322.09547906958153,TARGET,0.13849997871926686
